yourlist:M20201208E5A08BB0B2D1C45B0C7BC3B55FD2655607611FW	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
RED_HUMAN	Q13123	RED_HUMAN	reviewed	Protein Red (Cytokine IK) (IK factor) (Protein RER)	IK RED RER	Homo sapiens (Human)	557
S27A6_HUMAN	Q9Y2P4	S27A6_HUMAN	reviewed	Long-chain fatty acid transport protein 6 (FATP-6) (Fatty acid transport protein 6) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty-acid-coenzyme A ligase, very long-chain 2) (EC 6.2.1.-) (Solute carrier family 27 member 6) (Very long-chain acyl-CoA synthetase homolog 1) (VLCSH1) (hVLCS-H1)	SLC27A6 ACSVL2 FACVL2 FATP6	Homo sapiens (Human)	619
SIRT6_HUMAN	Q8N6T7	SIR6_HUMAN	reviewed	NAD-dependent protein deacetylase sirtuin-6 (EC 2.3.1.286) (Regulatory protein SIR2 homolog 6) (SIR2-like protein 6)	SIRT6 SIR2L6	Homo sapiens (Human)	355
TAL1_HUMAN	P17542	TAL1_HUMAN	reviewed	T-cell acute lymphocytic leukemia protein 1 (TAL-1) (Class A basic helix-loop-helix protein 17) (bHLHa17) (Stem cell protein) (T-cell leukemia/lymphoma protein 5)	TAL1 BHLHA17 SCL TCL5	Homo sapiens (Human)	331
TALDO_HUMAN	P37837	TALDO_HUMAN	reviewed	Transaldolase (EC 2.2.1.2)	TALDO1 TAL TALDO TALDOR	Homo sapiens (Human)	337
TXND9_HUMAN	O14530	TXND9_HUMAN	reviewed	Thioredoxin domain-containing protein 9 (ATP-binding protein associated with cell differentiation) (Protein 1-4)	TXNDC9 APACD	Homo sapiens (Human)	226
CHD4_HUMAN	Q14839	CHD4_HUMAN	reviewed	Chromodomain-helicase-DNA-binding protein 4 (CHD-4) (EC 3.6.4.12) (ATP-dependent helicase CHD4) (Mi-2 autoantigen 218 kDa protein) (Mi2-beta)	CHD4	Homo sapiens (Human)	1912
CHD6_HUMAN	Q8TD26	CHD6_HUMAN	reviewed	Chromodomain-helicase-DNA-binding protein 6 (CHD-6) (EC 3.6.4.12) (ATP-dependent helicase CHD6) (Radiation-induced gene B protein)	CHD6 CHD5 KIAA1335 RIGB	Homo sapiens (Human)	2715
CHD8_HUMAN	Q9HCK8	CHD8_HUMAN	reviewed	Chromodomain-helicase-DNA-binding protein 8 (CHD-8) (EC 3.6.4.12) (ATP-dependent helicase CHD8) (Helicase with SNF2 domain 1)	CHD8 HELSNF1 KIAA1564	Homo sapiens (Human)	2581
CTCF_HUMAN	P49711	CTCF_HUMAN	reviewed	Transcriptional repressor CTCF (11-zinc finger protein) (CCCTC-binding factor) (CTCFL paralog)	CTCF	Homo sapiens (Human)	727
CHD9_HUMAN	Q3L8U1	CHD9_HUMAN	reviewed	Chromodomain-helicase-DNA-binding protein 9 (CHD-9) (EC 3.6.4.12) (ATP-dependent helicase CHD9) (Chromatin-related mesenchymal modulator) (CReMM) (Chromatin-remodeling factor CHROM1) (Kismet homolog 2) (PPAR-alpha-interacting complex protein 320 kDa) (Peroxisomal proliferator-activated receptor A-interacting complex 320 kDa protein)	CHD9 KIAA0308 KISH2 PRIC320 AD-013 x0008	Homo sapiens (Human)	2897
PPARA_HUMAN	Q07869	PPARA_HUMAN	reviewed	Peroxisome proliferator-activated receptor alpha (PPAR-alpha) (Nuclear receptor subfamily 1 group C member 1)	PPARA NR1C1 PPAR	Homo sapiens (Human)	468
Q8NHA5_HUMAN	Q8NHA5	Q8NHA5_HUMAN	unreviewed	Seven transmembrane helix receptor		Homo sapiens (Human)	866
WDR47_HUMAN	O94967	WDR47_HUMAN	reviewed	WD repeat-containing protein 47 (Neuronal enriched MAP-interacting protein) (Nemitin)	WDR47 KIAA0893	Homo sapiens (Human)	919
CHIC2_HUMAN	Q9UKJ5	CHIC2_HUMAN	reviewed	Cysteine-rich hydrophobic domain-containing protein 2 (BrX-like translocated in leukemia)	CHIC2 BTL	Homo sapiens (Human)	165
HXA1_HUMAN	P49639	HXA1_HUMAN	reviewed	Homeobox protein Hox-A1 (Homeobox protein Hox-1F)	HOXA1 HOX1F	Homo sapiens (Human)	335
OTX1_HUMAN	P32242	OTX1_HUMAN	reviewed	Homeobox protein OTX1 (Orthodenticle homolog 1)	OTX1	Homo sapiens (Human)	354
TOP3B_HUMAN	O95985	TOP3B_HUMAN	reviewed	DNA topoisomerase 3-beta-1 (EC 5.6.2.1) (DNA topoisomerase III beta-1)	TOP3B TOP3B1	Homo sapiens (Human)	862
CHIO_HUMAN	P52757	CHIO_HUMAN	reviewed	Beta-chimaerin (Beta-chimerin) (Rho GTPase-activating protein 3)	CHN2 ARHGAP3 BCH	Homo sapiens (Human)	468
MDM4_HUMAN	O15151	MDM4_HUMAN	reviewed	Protein Mdm4 (Double minute 4 protein) (Mdm2-like p53-binding protein) (Protein Mdmx) (p53-binding protein Mdm4)	MDM4 MDMX	Homo sapiens (Human)	490
MPIP3_HUMAN	P30307	MPIP3_HUMAN	reviewed	M-phase inducer phosphatase 3 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25C)	CDC25C	Homo sapiens (Human)	473
MDC1_HUMAN	Q14676	MDC1_HUMAN	reviewed	Mediator of DNA damage checkpoint protein 1 (Nuclear factor with BRCT domains 1)	MDC1 KIAA0170 NFBD1	Homo sapiens (Human)	2089
CHM1B_HUMAN	Q7LBR1	CHM1B_HUMAN	reviewed	Charged multivesicular body protein 1b (CHMP1.5) (Chromatin-modifying protein 1b) (CHMP1b) (Vacuolar protein sorting-associated protein 46-2) (Vps46-2) (hVps46-2)	CHMP1B C18orf2	Homo sapiens (Human)	199
VPS4A_HUMAN	Q9UN37	VPS4A_HUMAN	reviewed	Vacuolar protein sorting-associated protein 4A (EC 3.6.4.6) (Protein SKD2) (VPS4-1) (hVPS4)	VPS4A VPS4	Homo sapiens (Human)	437
CHM2A_HUMAN	O43633	CHM2A_HUMAN	reviewed	Charged multivesicular body protein 2a (Chromatin-modifying protein 2a) (CHMP2a) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1) (Vps2-1) (hVps2-1)	CHMP2A BC2 CHMP2	Homo sapiens (Human)	222
VPS4B_HUMAN	O75351	VPS4B_HUMAN	reviewed	Vacuolar protein sorting-associated protein 4B (EC 3.6.4.6) (Cell migration-inducing gene 1 protein) (Suppressor of K(+) transport growth defect 1) (Protein SKD1)	VPS4B SKD1 VPS42 MIG1	Homo sapiens (Human)	444
CHM4A_HUMAN	Q9BY43	CHM4A_HUMAN	reviewed	Charged multivesicular body protein 4a (Chromatin-modifying protein 4a) (CHMP4a) (SNF7 homolog associated with Alix-2) (SNF7-1) (hSnf-1) (Vacuolar protein sorting-associated protein 32-1) (Vps32-1) (hVps32-1)	CHMP4A C14orf123 SHAX2 CDA04 HSPC134	Homo sapiens (Human)	222
PDC6I_HUMAN	Q8WUM4	PDC6I_HUMAN	reviewed	Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95)	PDCD6IP AIP1 ALIX KIAA1375	Homo sapiens (Human)	868
SYT17_HUMAN,Q9BSW7_HUMAN	Q9BSW7	SYT17_HUMAN	reviewed	Synaptotagmin-17 (Protein B/K) (Synaptotagmin XVII) (SytXVII)	SYT17	Homo sapiens (Human)	474
CHM4B_HUMAN	Q9H444	CHM4B_HUMAN	reviewed	Charged multivesicular body protein 4b (Chromatin-modifying protein 4b) (CHMP4b) (SNF7 homolog associated with Alix 1) (SNF7-2) (hSnf7-2) (Vacuolar protein sorting-associated protein 32-2) (Vps32-2) (hVps32-2)	CHMP4B C20orf178 SHAX1	Homo sapiens (Human)	224
CHM4C_HUMAN	Q96CF2	CHM4C_HUMAN	reviewed	Charged multivesicular body protein 4c (Chromatin-modifying protein 4c) (CHMP4c) (SNF7 homolog associated with Alix 3) (SNF7-3) (hSnf7-3) (Vacuolar protein sorting-associated protein 32-3) (Vps32-3) (hVps32-3)	CHMP4C SHAX3	Homo sapiens (Human)	233
CHMP3_HUMAN	Q9Y3E7	CHMP3_HUMAN	reviewed	Charged multivesicular body protein 3 (Chromatin-modifying protein 3) (Neuroendocrine differentiation factor) (Vacuolar protein sorting-associated protein 24) (hVps24)	CHMP3 CGI149 NEDF VPS24 CGI-149	Homo sapiens (Human)	222
IBP1_HUMAN	P08833	IBP1_HUMAN	reviewed	Insulin-like growth factor-binding protein 1 (IBP-1) (IGF-binding protein 1) (IGFBP-1) (Placental protein 12) (PP12)	IGFBP1 IBP1	Homo sapiens (Human)	259
STABP_HUMAN	O95630	STABP_HUMAN	reviewed	STAM-binding protein (EC 3.4.19.-) (Associated molecule with the SH3 domain of STAM) (Endosome-associated ubiquitin isopeptidase)	STAMBP AMSH	Homo sapiens (Human)	424
CHMP6_HUMAN	Q96FZ7	CHMP6_HUMAN	reviewed	Charged multivesicular body protein 6 (Chromatin-modifying protein 6) (Vacuolar protein sorting-associated protein 20) (Vps20) (hVps20)	CHMP6 VPS20	Homo sapiens (Human)	201
CHMP7_HUMAN	Q8WUX9	CHMP7_HUMAN	reviewed	Charged multivesicular body protein 7 (Chromatin-modifying protein 7)	CHMP7	Homo sapiens (Human)	453
CHSP1_HUMAN	Q9Y2V2	CHSP1_HUMAN	reviewed	Calcium-regulated heat-stable protein 1 (Calcium-regulated heat-stable protein of 24 kDa) (CRHSP-24)	CARHSP1	Homo sapiens (Human)	147
STYX_HUMAN	Q8WUJ0	STYX_HUMAN	reviewed	Serine/threonine/tyrosine-interacting protein (Inactive tyrosine-protein phosphatase STYX) (Phosphoserine/threonine/tyrosine interaction protein)	STYX	Homo sapiens (Human)	223
CHSS2_HUMAN	Q8IZ52	CHSS2_HUMAN	reviewed	Chondroitin sulfate synthase 2 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 2) (Chondroitin-polymerizing factor) (ChPF) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase II) (N-acetylgalactosaminyltransferase 2)	CHPF CSS2 UNQ651/PRO1281	Homo sapiens (Human)	775
EXOSX_HUMAN	Q01780	EXOSX_HUMAN	reviewed	Exosome component 10 (EC 3.1.13.-) (Autoantigen PM/Scl 2) (P100 polymyositis-scleroderma overlap syndrome-associated autoantigen) (Polymyositis/scleroderma autoantigen 100 kDa) (PM/Scl-100) (Polymyositis/scleroderma autoantigen 2)	EXOSC10 PMSCL PMSCL2 RRP6	Homo sapiens (Human)	885
CI016_HUMAN	Q9BUW7	CI016_HUMAN	reviewed	UPF0184 protein C9orf16	C9orf16 EST00098	Homo sapiens (Human)	83
CI025_HUMAN	Q8IW50	F219A_HUMAN	reviewed	Protein FAM219A	FAM219A C9orf25	Homo sapiens (Human)	185
CI032_HUMAN	Q9BV86	NTM1A_HUMAN	reviewed	N-terminal Xaa-Pro-Lys N-methyltransferase 1 (EC 2.1.1.244) (Alpha N-terminal protein methyltransferase 1A) (Methyltransferase-like protein 11A) (N-terminal RCC1 methyltransferase) (X-Pro-Lys N-terminal protein methyltransferase 1A) (NTM1A) [Cleaved into: N-terminal Xaa-Pro-Lys N-methyltransferase 1, N-terminally processed]	NTMT1 C9orf32 METTL11A NRMT NRMT1 AD-003	Homo sapiens (Human)	223
RRP44_HUMAN	Q9Y2L1	RRP44_HUMAN	reviewed	Exosome complex exonuclease RRP44 (EC 3.1.13.-) (EC 3.1.26.-) (Protein DIS3 homolog) (Ribosomal RNA-processing protein 44)	DIS3 KIAA1008 RRP44	Homo sapiens (Human)	958
CI046_HUMAN	Q9HBL7	PLRKT_HUMAN	reviewed	Plasminogen receptor (KT) (Plg-R(KT))	PLGRKT C9orf46 AD025 MDS030	Homo sapiens (Human)	147
RCN3_HUMAN	Q96D15	RCN3_HUMAN	reviewed	Reticulocalbin-3 (EF-hand calcium-binding protein RLP49)	RCN3 UNQ239/PRO272	Homo sapiens (Human)	328
CI082_HUMAN	Q9H8G2	CAAP1_HUMAN	reviewed	Caspase activity and apoptosis inhibitor 1 (Conserved anti-apoptotic protein) (CAAP)	CAAP1 C9orf82 CAAP	Homo sapiens (Human)	361
CIA30_HUMAN	Q9Y375	CIA30_HUMAN	reviewed	Complex I intermediate-associated protein 30, mitochondrial (NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 1)	NDUFAF1 CIA30 CGI-65	Homo sapiens (Human)	327
WDR39_HUMAN,CIAO1_HUMAN	O76071	CIAO1_HUMAN	reviewed	Probable cytosolic iron-sulfur protein assembly protein CIAO1 (WD repeat-containing protein 39)	CIAO1 CIA1 WDR39	Homo sapiens (Human)	339
FA96A_HUMAN	Q9H5X1	CIA2A_HUMAN	reviewed	Cytosolic iron-sulfur assembly component 2A (MIP18 family protein FAM96A)	CIAO2A CIA2A FAM96A	Homo sapiens (Human)	160
FA96B_HUMAN	Q9Y3D0	CIA2B_HUMAN	reviewed	Cytosolic iron-sulfur assembly component 2B (MSS19-interacting protein of 18 kDa) (Mitotic spindle-associated MMXD complex subunit MIP18) (Protein FAM96B)	CIAO2B CIAB FAM96B MIP18 CGI-128 HSPC118	Homo sapiens (Human)	163
PLK2_HUMAN	Q9NYY3	PLK2_HUMAN	reviewed	Serine/threonine-protein kinase PLK2 (EC 2.7.11.21) (Polo-like kinase 2) (PLK-2) (hPlk2) (Serine/threonine-protein kinase SNK) (hSNK) (Serum-inducible kinase)	PLK2 SNK	Homo sapiens (Human)	685
RAC3_HUMAN	P60763	RAC3_HUMAN	reviewed	Ras-related C3 botulinum toxin substrate 3 (EC 3.6.5.2) (p21-Rac3)	RAC3	Homo sapiens (Human)	192
GABP2_HUMAN	Q8TAK5	GABP2_HUMAN	reviewed	GA-binding protein subunit beta-2 (GABP subunit beta-2) (GABPB-2)	GABPB2	Homo sapiens (Human)	448
P5CR2_HUMAN	Q96C36	P5CR2_HUMAN	reviewed	Pyrroline-5-carboxylate reductase 2 (P5C reductase 2) (P5CR 2) (EC 1.5.1.2)	PYCR2	Homo sapiens (Human)	320
Q4W8W1_HUMAN	Q4W8W1	Q4W8W1_HUMAN	unreviewed	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	P5CR2	Homo sapiens (Human)	319
SEC62_HUMAN	Q99442	SEC62_HUMAN	reviewed	Translocation protein SEC62 (Translocation protein 1) (TP-1) (hTP-1)	SEC62 TLOC1	Homo sapiens (Human)	399
CIDEA_HUMAN	O60543	CIDEA_HUMAN	reviewed	Cell death activator CIDE-A (Cell death-inducing DFFA-like effector A)	CIDEA	Homo sapiens (Human)	219
CIKS_HUMAN	O43734	CIKS_HUMAN	reviewed	E3 ubiquitin ligase TRAF3IP2 (EC 2.3.2.27) (Adapter protein CIKS) (Connection to IKK and SAPK/JNK) (E3 ubiquitin-protein ligase CIKS) (Nuclear factor NF-kappa-B activator 1) (ACT1) (TRAF3-interacting protein 2)	TRAF3IP2 C6orf2 C6orf4 C6orf5 C6orf6	Homo sapiens (Human)	574
TRAF5_HUMAN	O00463	TRAF5_HUMAN	reviewed	TNF receptor-associated factor 5 (RING finger protein 84)	TRAF5 RNF84	Homo sapiens (Human)	557
CING_HUMAN	Q9P2M7	CING_HUMAN	reviewed	Cingulin	CGN KIAA1319	Homo sapiens (Human)	1197
RHOQ_HUMAN	P17081	RHOQ_HUMAN	reviewed	Rho-related GTP-binding protein RhoQ (Ras-like protein TC10) (Ras-like protein family member 7A)	RHOQ ARHQ RASL7A TC10	Homo sapiens (Human)	205
HNRPG_HUMAN	P38159	RBMX_HUMAN	reviewed	RNA-binding motif protein, X chromosome (Glycoprotein p43) (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]	RBMX HNRPG RBMXP1	Homo sapiens (Human)	391
Q5JQ65_HUMAN	Q5JQ65	Q5JQ65_HUMAN		Deleted.			
SFRS1_HUMAN	Q07955	SRSF1_HUMAN	reviewed	Serine/arginine-rich splicing factor 1 (Alternative-splicing factor 1) (ASF-1) (Splicing factor, arginine/serine-rich 1) (pre-mRNA-splicing factor SF2, P33 subunit)	SRSF1 ASF SF2 SF2P33 SFRS1 OK/SW-cl.3	Homo sapiens (Human)	248
SFRS2_HUMAN	Q01130	SRSF2_HUMAN	reviewed	Serine/arginine-rich splicing factor 2 (Protein PR264) (Splicing component, 35 kDa) (Splicing factor SC35) (SC-35) (Splicing factor, arginine/serine-rich 2)	SRSF2 SFRS2	Homo sapiens (Human)	221
SUH_HUMAN	Q06330	SUH_HUMAN	reviewed	Recombining binding protein suppressor of hairless (CBF-1) (J kappa-recombination signal-binding protein) (RBP-J kappa) (RBP-J) (RBP-JK) (Renal carcinoma antigen NY-REN-30)	RBPJ IGKJRB IGKJRB1 RBPJK RBPSUH	Homo sapiens (Human)	500
CISH_HUMAN	Q9NSE2	CISH_HUMAN	reviewed	Cytokine-inducible SH2-containing protein (CIS) (CIS-1) (Protein G18) (Suppressor of cytokine signaling) (SOCS)	CISH G18	Homo sapiens (Human)	258
CSF3R_HUMAN	Q99062	CSF3R_HUMAN	reviewed	Granulocyte colony-stimulating factor receptor (G-CSF receptor) (G-CSF-R) (CD antigen CD114)	CSF3R GCSFR	Homo sapiens (Human)	836
GHR_HUMAN	P10912	GHR_HUMAN	reviewed	Growth hormone receptor (GH receptor) (Somatotropin receptor) [Cleaved into: Growth hormone-binding protein (GH-binding protein) (GHBP) (Serum-binding protein)]	GHR	Homo sapiens (Human)	638
CISY_HUMAN	O75390	CISY_HUMAN	reviewed	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)	CS	Homo sapiens (Human)	466
CITE1_HUMAN	Q99966	CITE1_HUMAN	reviewed	Cbp/p300-interacting transactivator 1 (Melanocyte-specific protein 1)	CITED1 MSG1	Homo sapiens (Human)	193
LHX2_HUMAN	P50458	LHX2_HUMAN	reviewed	LIM/homeobox protein Lhx2 (Homeobox protein LH-2) (LIM homeobox protein 2)	LHX2 LH2	Homo sapiens (Human)	406
LHX3_HUMAN	Q9UBR4	LHX3_HUMAN	reviewed	LIM/homeobox protein Lhx3 (LIM homeobox protein 3)	LHX3	Homo sapiens (Human)	397
CJ012_HUMAN	Q96JN0	LCOR_HUMAN	reviewed	Ligand-dependent corepressor (LCoR) (Mblk1-related protein 2)	LCOR C10orf12 KIAA1795 MLR2	Homo sapiens (Human)	433
CJ030_HUMAN	Q8N7W2	BEND7_HUMAN	reviewed	BEN domain-containing protein 7	BEND7 C10orf30	Homo sapiens (Human)	519
SDCB2_HUMAN	Q9H190	SDCB2_HUMAN	reviewed	Syntenin-2 (Similar to TACIP18) (SITAC) (Syndecan-binding protein 2)	SDCBP2 SITAC18	Homo sapiens (Human)	292
CJ082_HUMAN	Q8WW14	CJ082_HUMAN	reviewed	Uncharacterized protein C10orf82	C10orf82	Homo sapiens (Human)	234
CJ088_HUMAN	Q9H8K7	PAAT_HUMAN	reviewed	ATPase PAAT (EC 3.6.1.-) (Protein associated with ABC transporters) (PAAT)	PAAT C10orf88	Homo sapiens (Human)	445
CJ119_HUMAN	Q9BTE3	MCMBP_HUMAN	reviewed	Mini-chromosome maintenance complex-binding protein (MCM-BP) (MCM-binding protein)	MCMBP C10orf119	Homo sapiens (Human)	642
CK001_HUMAN	Q9H5F2	CK001_HUMAN	reviewed	UPF0686 protein C11orf1	C11orf1	Homo sapiens (Human)	150
CK054_HUMAN	Q9H0W9	CK054_HUMAN	reviewed	Ester hydrolase C11orf54 (EC 3.1.-.-)	C11orf54 LP4947 PTD012	Homo sapiens (Human)	315
CK056_HUMAN	Q8N612	F16A2_HUMAN	reviewed	FTS and Hook-interacting protein (FHIP) (Protein FAM160A2)	FAM160A2 C11orf56 KIAA1759	Homo sapiens (Human)	972
REEP6_HUMAN	Q96HR9	REEP6_HUMAN	reviewed	Receptor expression-enhancing protein 6 (Polyposis locus protein 1-like 1)	REEP6 C19orf32 DP1L1	Homo sapiens (Human)	211
CK068_HUMAN	Q9H3H3	CK068_HUMAN	reviewed	UPF0696 protein C11orf68 (Basophilic leukemia-expressed protein Bles03) (Protein p5326)	C11orf68 BLES03	Homo sapiens (Human)	292
IF4H_HUMAN	Q15056	IF4H_HUMAN	reviewed	Eukaryotic translation initiation factor 4H (eIF-4H) (Williams-Beuren syndrome chromosomal region 1 protein)	EIF4H KIAA0038 WBSCR1 WSCR1	Homo sapiens (Human)	248
CK5P1_HUMAN	Q96SZ6	CK5P1_HUMAN	reviewed	Mitochondrial tRNA methylthiotransferase CDK5RAP1 (EC 2.8.4.3) (CDK5 activator-binding protein C42) (CDK5 regulatory subunit-associated protein 1) (mt-tRNA-2-methylthio-N6-dimethylallyladenosine synthase) (mt-tRNA-N6-(dimethylallyl)adenosine(37) methylthiotransferase)	CDK5RAP1 C20orf34 CGI-05 HSPC167	Homo sapiens (Human)	601
EXOS3_HUMAN	Q9NQT5	EXOS3_HUMAN	reviewed	Exosome complex component RRP40 (Exosome component 3) (Ribosomal RNA-processing protein 40) (p10)	EXOSC3 RRP40 CGI-102	Homo sapiens (Human)	275
EXOS5_HUMAN	Q9NQT4	EXOS5_HUMAN	reviewed	Exosome complex component RRP46 (Chronic myelogenous leukemia tumor antigen 28) (Exosome component 5) (Ribosomal RNA-processing protein 46) (p12B)	EXOSC5 CML28 RRP46	Homo sapiens (Human)	235
MAGH1_HUMAN	Q9H213	MAGH1_HUMAN	reviewed	Melanoma-associated antigen H1 (Apoptosis-related protein 1) (APR-1) (MAGE-H1 antigen) (Restin)	MAGEH1 APR1	Homo sapiens (Human)	219
SENP2_HUMAN	Q9HC62	SENP2_HUMAN	reviewed	Sentrin-specific protease 2 (EC 3.4.22.-) (Axam2) (SMT3-specific isopeptidase 2) (Smt3ip2) (Sentrin/SUMO-specific protease SENP2)	SENP2 KIAA1331	Homo sapiens (Human)	589
STAR9_HUMAN	Q9P2P6	STAR9_HUMAN	reviewed	StAR-related lipid transfer protein 9 (START domain-containing protein 9) (StARD9)	STARD9 KIAA1300	Homo sapiens (Human)	4700
STK36_HUMAN	Q9NRP7	STK36_HUMAN	reviewed	Serine/threonine-protein kinase 36 (EC 2.7.11.1) (Fused homolog)	STK36 KIAA1278	Homo sapiens (Human)	1315
ZPR1_HUMAN	O75312	ZPR1_HUMAN	reviewed	Zinc finger protein ZPR1 (Zinc finger protein 259)	ZPR1 ZNF259	Homo sapiens (Human)	459
CK5P3_HUMAN	Q96JB5	CK5P3_HUMAN	reviewed	CDK5 regulatory subunit-associated protein 3 (CDK5 activator-binding protein C53) (LXXLL/leucine-zipper-containing ARF-binding protein) (Protein HSF-27)	CDK5RAP3 IC53 LZAP MSTP016 OK/SW-cl.114 PP1553	Homo sapiens (Human)	506
SRPRB_HUMAN	Q9Y5M8	SRPRB_HUMAN	reviewed	Signal recognition particle receptor subunit beta (SR-beta) (Protein APMCF1)	SRPRB PSEC0230	Homo sapiens (Human)	271
CKAP2_HUMAN	Q8WWK9	CKAP2_HUMAN	reviewed	Cytoskeleton-associated protein 2 (CTCL tumor antigen se20-10) (Tumor- and microtubule-associated protein)	CKAP2 LB1 TMAP	Homo sapiens (Human)	683
CKAP5_HUMAN	Q14008	CKAP5_HUMAN	reviewed	Cytoskeleton-associated protein 5 (Colonic and hepatic tumor overexpressed gene protein) (Ch-TOG)	CKAP5 KIAA0097	Homo sapiens (Human)	2032
CKLF3_HUMAN	Q96MX0	CKLF3_HUMAN	reviewed	CKLF-like MARVEL transmembrane domain-containing protein 3 (Chemokine-like factor superfamily member 3)	CMTM3 CKLFSF3	Homo sapiens (Human)	182
CKS2_HUMAN	P33552	CKS2_HUMAN	reviewed	Cyclin-dependent kinases regulatory subunit 2 (CKS-2)	CKS2	Homo sapiens (Human)	79
CL011_HUMAN	Q9NVM9	INT13_HUMAN	reviewed	Integrator complex subunit 13 (Cell cycle regulator Mat89Bb homolog) (Germ cell tumor 1) (Protein asunder homolog) (Sarcoma antigen NY-SAR-95)	INTS13 ASUN C12orf11 GCT1	Homo sapiens (Human)	706
ZN655_HUMAN,Q9BQ85_HUMAN	Q8N720	ZN655_HUMAN	reviewed	Zinc finger protein 655 (Vav-interacting Krueppel-like protein)	ZNF655 VIK	Homo sapiens (Human)	491
CL035_HUMAN	Q9HCM1	RESF1_HUMAN	reviewed	Retroelement silencing factor 1	RESF1 C12orf35 KIAA1551	Homo sapiens (Human)	1747
CLAP2_HUMAN	O75122	CLAP2_HUMAN	reviewed	CLIP-associating protein 2 (Cytoplasmic linker-associated protein 2) (Protein Orbit homolog 2) (hOrbit2)	CLASP2 KIAA0627	Homo sapiens (Human)	1294
CLIP1_HUMAN	P30622	CLIP1_HUMAN	reviewed	CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 1) (Cytoplasmic linker protein 170 alpha-2) (CLIP-170) (Reed-Sternberg intermediate filament-associated protein) (Restin)	CLIP1 CYLN1 RSN	Homo sapiens (Human)	1438
CLAT_HUMAN	P28329	CLAT_HUMAN	reviewed	Choline O-acetyltransferase (CHOACTase) (ChAT) (Choline acetylase) (EC 2.3.1.6)	CHAT	Homo sapiens (Human)	748
CLCA_HUMAN	P09496	CLCA_HUMAN	reviewed	Clathrin light chain A (Lca)	CLTA	Homo sapiens (Human)	248
CLCN5_HUMAN	P51795	CLCN5_HUMAN	reviewed	H(+)/Cl(-) exchange transporter 5 (Chloride channel protein 5) (ClC-5) (Chloride transporter ClC-5)	CLCN5 CLCK2	Homo sapiens (Human)	816
CLD11_HUMAN	O75508	CLD11_HUMAN	reviewed	Claudin-11 (Oligodendrocyte-specific protein)	CLDN11 OSP OTM	Homo sapiens (Human)	207
TSN4_HUMAN	O14817	TSN4_HUMAN	reviewed	Tetraspanin-4 (Tspan-4) (Novel antigen 2) (NAG-2) (Transmembrane 4 superfamily member 7)	TSPAN4 NAG2 TM4SF7	Homo sapiens (Human)	238
CLD12_HUMAN	P56749	CLD12_HUMAN	reviewed	Claudin-12	CLDN12	Homo sapiens (Human)	244
MMP15_HUMAN	P51511	MMP15_HUMAN	reviewed	Matrix metalloproteinase-15 (MMP-15) (EC 3.4.24.-) (Membrane-type matrix metalloproteinase 2) (MT-MMP 2) (MTMMP2) (Membrane-type-2 matrix metalloproteinase) (MT2-MMP) (MT2MMP) (SMCP-2)	MMP15	Homo sapiens (Human)	669
WNK4_HUMAN	Q96J92	WNK4_HUMAN	reviewed	Serine/threonine-protein kinase WNK4 (EC 2.7.11.1) (Protein kinase lysine-deficient 4) (Protein kinase with no lysine 4)	WNK4 PRKWNK4	Homo sapiens (Human)	1243
ZO3_HUMAN	O95049	ZO3_HUMAN	reviewed	Tight junction protein ZO-3 (Tight junction protein 3) (Zona occludens protein 3) (Zonula occludens protein 3)	TJP3 ZO3	Homo sapiens (Human)	919
CLD2_HUMAN	P57739	CLD2_HUMAN	reviewed	Claudin-2 (SP82)	CLDN2 PSEC0059 SP82 UNQ705/PRO1356	Homo sapiens (Human)	230
CLD3_HUMAN	O15551	CLD3_HUMAN	reviewed	Claudin-3 (Clostridium perfringens enterotoxin receptor 2) (CPE-R 2) (CPE-receptor 2) (Rat ventral prostate.1 protein homolog) (hRVP1)	CLDN3 C7orf1 CPETR2	Homo sapiens (Human)	220
CLD4_HUMAN	O14493	CLD4_HUMAN	reviewed	Claudin-4 (Clostridium perfringens enterotoxin receptor) (CPE-R) (CPE-receptor) (Williams-Beuren syndrome chromosomal region 8 protein)	CLDN4 CPER CPETR1 WBSCR8	Homo sapiens (Human)	209
CLD5_HUMAN	O00501	CLD5_HUMAN	reviewed	Claudin-5 (Transmembrane protein deleted in VCFS) (TMDVCF)	CLDN5 AWAL TMVCF	Homo sapiens (Human)	218
